语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,305,305,24.0,305,0.0,139,1.0,6441883,6441883,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,81,81,25.0,81,0.0,71,1.0,900952,900952,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,89,89,90.0,89,0.0,282,1.0,2252861,2252861,0
9,8,9,10,1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,310,310,88.19,310,0.0,591,1.0,1956892,1956892,0
4,3,5,7,1,1,2,-1,-1,5,-1,7,-1,1,-1,3,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,260,260,21.0,260,0.0,384,1.0,14982188,14982188,0
9,8,9,9,1,1,-1,-1,-1,-1,-1,7,-1,1,2,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,803,803,165.0,803,0.0,603,1.0,10922812,10922812,0
10,10,10,10,1,-1,-1,-1,-1,-1,6,-1,-1,-1,2,3,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,204,204,68.0,204,0.0,204,1.0,48734017,48734017,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,360,360,50.0,360,0.0,595,1.0,26872333,26872333,0
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,0,0,0,703.3,1,21.29,1.0,158,158,63.64,158,0.0,256,1.0,22244606,22244606,1
10,10,10,10,1,-1,-1,-1,-1,-1,-1,-1,98,-1,2,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1993,1993,345.0,1993,0.0,1980,1.0,29983965,29983965,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2080.56,1,51.0,1.0,157,157,183.0,157,0.0,445,1.0,51906706,51906706,0
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,55.64,1,21.0,1.0,68,68,48.9,68,0.0,240,1.0,22755889,22755889,0
10,5,8,8,1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1,3,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,123,123,86.1,123,0.0,313,1.0,21098550,21098550,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,282,282,83.0,282,0.0,187,1.0,48114253,48114253,1
10,10,10,10,1,-1,-1,-1,-1,5,-1,7,-1,1,2,3,4,5,6,-1,0,0,0,0,0.0,1,0.0,1.0,815,815,120.0,815,0.0,642,1.0,17136267,17136267,0
10,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,0,0,0.0,1,0.0,1.0,402,402,98.0,402,0.0,376,1.0,172705,172705,0
8,9,9,8,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,245,245,38.0,245,0.0,313,1.0,7910066,7910066,0
9,8,10,8,1,1,-1,-1,-1,-1,-1,7,-1,1,-1,-1,-1,-1,6,-1,8,0,0,0,0.0,1,0.0,1.0,78,78,29.0,78,0.0,255,1.0,1658878,1658878,0
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0,0,0,0,0.0,1,9.0,1.0,24,24,20.0,24,0.0,45,1.0,4520690,4520690,1
6,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,11.89,1.0,10,10,21.89,10,0.0,70,1.0,74002,74002,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,213,213,21.0,213,0.0,210,1.0,22021066,22021066,0
9,6,9,7,1,1,2,-1,-1,-1,-1,7,-1,-1,-1,3,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,146,146,39.0,146,0.0,133,1.0,9102582,9102582,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,369,369,97.9,369,0.0,410,1.0,11650036,11650036,1
10,10,10,10,1,1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,27,27,0.0,27,0.0,169,1.0,19452886,19452886,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,25,25,26.0,25,0.0,29,1.0,14865,14865,0
8,8,7,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,170,170,32.25,170,0.0,91,1.0,12927019,12927019,1
9,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,314,314,60.0,314,0.0,244,1.0,23587433,23587433,0
8,3,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,47,47,19.95,47,0.0,102,1.0,1789765,1789765,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,126,126,35.0,126,0.0,158,1.0,21302993,21302993,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,1.0,149,149,60.0,149,0.0,274,1.0,3510610,3510610,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,134,134,54.42,134,0.0,419,1.0,46943240,46943240,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,155,155,49.0,155,0.0,317,1.0,1156948,1156948,0
1,1,1,1,1,1,2,3,4,5,6,7,98,1,-1,-1,-1,-1,-1,98,0,0,0,0,0.0,1,0.0,1.0,828,828,48.1,828,0.0,361,1.0,4984144,4984144,0
1,1,1,1,1,1,2,3,4,5,6,7,98,1,2,3,4,-1,6,98,0,0,0,0,0.0,1,95.8,1.0,512,512,178.04,512,0.0,188,1.0,2392221,2392221,0
10,8,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,138.54,1,30.0,1.0,205,205,91.59,205,0.0,262,1.0,55043160,55043160,0
1,1,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,5,6,-1,0,0,0,0,0.0,1,0.0,1.0,408,408,68.45,408,0.0,315,1.0,5723713,5723713,0
10,8,10,7,1,-1,-1,3,-1,5,-1,-1,-1,1,-1,3,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,22,22,50.0,22,0.0,164,1.0,19051574,19051574,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,100,100,41.95,100,0.0,143,1.0,24146867,24146867,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,0,0,0.0,1,0.0,1.0,625,625,34.27,625,0.0,460,1.0,11695462,11695462,0
1,1,1,1,1,1,2,-1,4,5,6,7,-1,-1,-1,3,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,128,128,40.47,128,0.0,24,1.0,440082,440082,0
10,9,9,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,176,176,58.0,176,0.0,128,1.0,9,9,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1512.83,1,33.0,1.0,3451,3451,116.0,3451,0.0,1373,1.0,68040140,68040140,1
5,8,5,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,5,6,-1,0,0,0,0,0.0,1,0.0,1.0,2732,2732,18.0,2732,0.0,5049,1.0,1505932,1505932,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,1,0,0.0,1,0.0,1.0,303,303,24.0,303,0.0,271,1.0,5253848,5253848,0
9,8,7,6,1,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,449,449,90.0,449,0.0,225,1.0,23535600,23535600,1
1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,3,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,160,160,74.0,160,0.0,451,1.0,23683075,23683075,1
10,10,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,341,341,49.0,341,0.0,212,1.0,16678503,16678503,1
9,7,9,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,0,0.0,1.0,443,443,94.0,443,0.0,393,1.0,1601,1601,0
10,8,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,153,153,39.0,153,0.0,107,1.0,3158302,3158302,0
1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,1,2,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,9,9,151.1,9,20.0,37,1.0,11424684,11424684,0
10,10,10,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1590,1590,76.18,1590,0.0,2295,1.0,42842647,42842647,0
6,7,4,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,6,-1,0,2,0,0,0.0,1,0.0,1.0,193,193,49.1,193,0.0,165,1.0,2233245,2233245,0
1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,48,48,10.0,48,0.0,105,1.0,31385783,31385783,1
3,5,5,5,1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,94,94,33.2,94,0.0,303,1.0,44525,44525,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,1.0,360,360,10.6,360,0.0,332,1.0,18302293,18302293,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,206,206,49.0,206,0.0,165,1.0,40895337,40895337,1
1,1,1,1,1,1,2,3,4,5,6,7,-1,1,2,3,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,132,132,70.1,132,0.0,473,1.0,17858200,17858200,0
10,8,10,8,1,1,-1,-1,4,-1,-1,7,-1,1,-1,3,-1,-1,-1,-1,0,7,0,0,0.0,1,0.0,1.0,16,16,21.0,16,0.0,143,1.0,16822379,16822379,0
9,5,6,9,1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,3,-1,5,6,-1,0,0,0,0,0.0,1,0.0,1.0,669,669,128.0,669,0.0,915,1.0,8726955,8726955,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,220,220,15.0,220,0.0,281,1.0,8358909,8358909,0
9,9,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1675,1675,248.0,1675,0.0,1730,1.0,57211909,57211909,1
1,2,1,2,1,1,-1,-1,4,-1,-1,-1,-1,1,2,-1,4,-1,-1,-1,0,0,0,0,151.83,1,10.0,1.0,45,45,27.5,45,0.0,29,1.0,16398188,16398188,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,517,517,151.0,517,0.0,1107,1.0,10101687,10101687,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,0,0,0.0,1,0.0,1.0,173,173,128.0,173,0.0,363,1.0,23152270,23152270,0
9,9,9,8,1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,262,262,30.0,262,0.0,288,1.0,30075108,30075108,0
3,3,3,3,1,1,-1,-1,-1,5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,1055.64,1,150.0,1.0,2051,2051,304.0,2051,0.0,1610,1.0,174541422,174541422,0
7,7,7,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,10.96,1,3.19,1.0,350,350,47.46,350,0.0,275,1.0,185738,185738,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1,1,15.0,1,0.0,28,1.0,3225910,3225910,1
10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,107,107,90.0,107,0.0,318,1.0,18976969,18976969,0
10,9,10,9,1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,204,204,12.52,204,0.0,290,1.0,13190351,13190351,1
10,8,10,9,1,-1,-1,-1,-1,5,-1,7,-1,1,-1,-1,4,5,-1,-1,0,0,0,0,0.0,1,0.0,1.0,51,51,97.0,51,0.0,146,1.0,3738997,3738997,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,221,221,39.0,221,0.0,342,1.0,16047408,16047408,0
10,10,10,10,1,1,2,3,4,5,6,7,98,1,2,3,4,5,6,98,0,0,0,0,0.0,1,0.0,1.0,221,221,25.0,221,0.0,230,1.0,135955,135955,0
7,6,8,7,1,1,2,-1,-1,-1,6,-1,-1,-1,2,3,4,-1,6,-1,0,0,0,0,0.0,1,51.0,1.0,257,257,85.8,257,0.0,147,1.0,24159810,24159810,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,105,105,40.0,105,0.0,237,1.0,19426744,19426744,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,831,831,95.0,831,0.0,1180,1.0,6745601,6745601,0
8,8,8,8,1,-1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,249,249,44.0,249,0.0,97,1.0,218473,218473,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,92,92,43.0,92,0.0,195,1.0,14033054,14033054,1
