是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,11,3,0,25.24,1,6.96,0.2228,202,45,25.41,202,26.95,367,0.5337,176840,94387,0
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,25,23,1,0,0.0,1,0.0,0.0,277,0,56.15,277,56.75,52,0.0,12504820,0,1
1,-1,-1,-1,-1,-1,-1,7,98,1,-1,3,-1,-1,6,-1,21,12,0,0,0.0,1,0.0,0.0,182,0,270.0,182,268.2,76,0.0,9525891,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,0,0,1689.56,1,48.0,0.0,268,0,160.04,268,135.0,341,0.0,49540490,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,11,0,6.99,1,2.9,0.0,412,0,21.35,412,20.47,304,0.0,142381,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0.0,1,0.0,0.0,155,0,65.0,155,65.0,92,0.0,5052929,0,1
1,1,2,-1,-1,5,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,82,6,1,0,0.0,1,0.0,0.0,206,0,104.0,206,100.0,180,0.0,35721861,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,1,0,24.82,1,0.69,0.0,359,0,76.69,359,55.0,81,0.0,33946082,0,0
1,1,-1,-1,-1,5,-1,7,-1,-1,-1,3,-1,-1,6,-1,0,9,7,0,0.0,1,0.0,0.0,1787,0,105.0,1787,105.0,1029,0.0,7290822,59,1
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,6,-1,4,13,5,0,0.0,1,0.0,0.0,383,0,70.0,383,70.0,167,0.0,10426496,0,0
1,-1,-1,-1,-1,-1,6,7,-1,1,-1,3,-1,-1,6,-1,6,16,1,0,0.0,1,0.0,0.0,422,0,147.6,422,83.4,121,0.0,9937099,0,0
1,1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,6,-1,13,2,0,0,0.0,1,0.0,0.0,205,0,101.0,205,101.1,92,0.0,30978980,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,22,0,0,0.0,1,0.0,0.0,254,0,21.0,254,21.0,131,0.0,9443269,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,3,0,0,0.0,1,0.0,0.0,359,0,56.0,359,75.9,8,0.0,40950771,0,0
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,-1,-1,-1,5,12,3,0,0.0,1,0.0,0.0,1253,0,121.0,1253,121.0,659,0.0,7753691,0,1
1,1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,58,1,0,0,0.0,1,0.0,0.0,374,0,30.6,374,21.3,368,0.0,52007860,0,0
1,1,-1,-1,-1,5,-1,-1,-1,1,2,3,4,-1,6,-1,33,13,2,0,0.0,1,0.0,0.0,243,0,145.0,243,20.0,129,0.0,19701182,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0.0,1,0.0,0.0,348,0,8.0,348,8.0,182,0.0,4575526,0,1
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,21,31,2,0,0.0,1,0.0,0.0,763,0,244.5,763,243.0,211,0.0,8390449,0,1
1,1,2,3,4,5,6,7,-1,1,2,3,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.1437,167,24,26.3,167,19.4,46,1.0,17756,17756,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,3,0,0,0.0,1,0.0,0.0,231,0,44.0,231,44.0,293,0.0,21305111,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,14,0,1,0.0,1,0.0,0.0,604,0,90.0,604,91.0,566,0.0,77948621,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,7,0,0,0.0,1,0.0,0.0,403,0,39.35,403,38.15,548,0.0,21069245,0,0
1,1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,-1,-1,6,-1,7,5,0,0,0.0,1,0.0,0.0,148,0,55.0,148,72.2,272,0.0,41890623,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,7,4,0,0.0,1,0.0,0.0,182,0,33.0,182,33.0,85,0.0,9079888,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,54,2,0,0.0,1,0.0,0.0,1403,0,110.0,1403,110.0,632,0.0,591709,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,1,0,0.0,1,0.0,0.0,431,0,34.0,431,34.0,440,0.0,1568151,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,40,1,0,0.0,1,0.0,0.1514,1202,182,160.0,1202,140.0,591,0.055,102934016,5656280,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,19,1,0,0.0,1,0.0,0.15560000000000002,315,49,25.0,315,137.87,576,0.12869999999999998,34996093,4502534,0
1,1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,8,58,3,0,0.0,1,0.0,0.0,1376,0,245.0,1376,241.8,1354,0.0,17145352,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,0.0,1,0.0,0.0,182,0,10.15,182,10.15,152,0.0,3499537,0,1
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,4,1,0,0,0.0,1,0.0,0.0,183,0,252.1,183,242.0,140,0.0,3551897,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,0,0,0.0,1,0.0,0.0,179,0,120.0,179,120.0,185,0.0,9449986,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0.0,1,0.0,0.0,173,0,128.0,173,118.0,135,0.0,10829497,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,15,4,0,0.0,1,0.0,0.0,218,0,60.0,218,60.0,115,0.0,8688643,0,1
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,69,29,0,0,0.0,1,0.0,0.0,283,0,44.39,283,29.0,102,0.0,42587138,0,1
1,1,2,-1,-1,-1,6,7,-1,-1,-1,3,4,-1,6,-1,2,7,4,0,0.0,1,0.0,0.0,835,0,245.0,835,245.0,875,0.0,8121451,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,0,0,0,0.0,1,0.0,0.0,1177,0,21.0,1177,21.0,252,0.0,1532995,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,146,0,10.0,146,10.0,116,0.0,108,0,0
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,2,8,0,0,0.0,1,0.0,0.0,168,0,60.0,168,60.0,188,0.0,927622,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,66,14,0,0.0,1,0.0,0.0,780,0,305.0,780,240.2,397,0.0,102198669,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,4,0,0,0.0,1,0.0,0.0,636,0,67.0,636,67.0,540,0.0001,19716159,1652,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,19,1,0,0.0,1,0.0,0.0,204,0,60.1,204,60.0,187,0.0,17376115,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,16,0,0,0.0,1,0.0,0.0,486,0,29.0,486,29.0,159,0.0,2680068,0,0
1,-1,-1,-1,-1,5,-1,-1,98,1,-1,3,4,-1,-1,-1,2,2,2,0,0.0,1,0.0,0.0,384,0,131.0,384,131.2,331,0.0,50690196,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,21,5,0,0.0,1,0.0,0.0,298,0,119.0,298,119.0,376,0.0,21049041,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,34,6,0,0.0,1,0.0,0.0,1217,0,70.0,1217,79.0,295,0.0,33355689,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,25,0,0,35.1,1,10.0,0.0,546,0,38.19,546,28.0,148,0.0,2624631,0,0
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,6,-1,7,4,0,1,0.0,1,0.0,0.0,309,0,128.0,309,115.0,167,0.0,1651182,0,1
1,1,-1,-1,-1,5,-1,7,-1,1,2,3,4,-1,6,-1,11,18,2,0,0.0,1,0.0,0.0,1125,0,148.0,1125,148.0,398,0.0,54558652,0,1
1,-1,2,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,123,29,4,0,0.0,1,0.0,0.0,668,0,71.97,668,69.0,298,0.0,12531524,0,0
1,-1,-1,-1,-1,5,6,7,-1,-1,-1,3,4,-1,-1,-1,5,9,6,0,0.0,1,0.0,0.0,173,0,21.0,173,21.0,120,0.0,5080148,0,1
1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,10,0,0,0,0.0,1,0.0,0.0,225,0,56.1,225,56.2,346,0.0,7092555,0,1
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,0.0,1,0.0,0.0,325,0,59.0,325,59.2,63,0.0,5673932,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,14,2,0,0.0,1,0.0,0.0,972,0,80.0,972,80.0,533,0.0,5479919,0,1
1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,4,-1,6,98,37,0,0,0,0.0,1,0.0,0.0,1414,0,149.05,1414,0.0,0,0.0,10723737,0,0
1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,35,4,0,0.0,1,0.0,0.0,773,0,138.1,773,168.0,661,0.0,862109,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,27,1,0,0.0,1,0.0,0.0,1854,0,150.76,1854,145.0,1096,0.0,25586047,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,12,4,0,0.0,1,0.0,0.0,391,0,58.0,391,58.0,207,0.0,1458251,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,0,0,0.0,1,0.0,0.0,127,0,43.0,127,38.0,129,0.0,7036795,0,1
1,1,-1,-1,-1,5,-1,7,-1,1,-1,3,4,-1,-1,-1,5,11,5,0,0.0,1,0.0,0.0,1703,0,121.0,1703,121.0,1044,0.0,15636322,0,1
1,1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,6,-1,27,3,1,0,0.0,1,0.0,0.0,173,0,28.27,173,35.49,241,0.0,3707661,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,2,0,0.0,1,0.0,0.0,699,0,128.0,699,128.0,530,0.0,42887775,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0.0,1,0.0,0.0,196,0,25.33,196,24.0,84,0.0,904244,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,0,0,0.0,1,0.0,0.0,160,0,100.0,160,100.0,187,0.0,5995806,0,1
1,1,2,-1,-1,5,6,-1,-1,1,2,3,4,5,6,-1,0,2,0,0,0.0,1,0.0,0.0,219,0,100.0,219,100.0,318,0.0,91424,0,0
1,1,2,-1,-1,5,6,7,-1,-1,2,3,-1,-1,6,-1,11,0,0,0,0.0,1,0.0,0.0,157,0,100.0,157,100.0,298,0.0,16820888,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,38,68,0,0.0,1,0.0,0.0,562,0,71.12,562,108.94,705,0.0,24584621,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,0,0,0.0,1,0.0,0.0,739,0,334.8,739,238.0,154,0.0,20929492,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,55,67,1,0.0,1,0.0,0.0,717,0,69.0,717,69.0,322,0.0,97853834,0,1
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,3,0,0,0.0,1,0.0,0.0,200,0,49.0,200,79.0,140,0.0,6180467,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,8,0,0,0.0,1,0.0,0.1559,295,46,85.0,295,80.0,305,0.3508,728227,255439,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,15,0,0,0.0,1,0.0,0.0,398,0,105.0,398,105.0,172,0.0,12910658,0,0
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,21,46,3,0,0.0,1,0.0,0.0,774,0,148.0,774,160.0,875,0.0,18164407,0,1
1,1,2,3,4,5,6,7,-1,-1,2,3,4,-1,6,-1,4,36,4,0,0.0,1,0.0,0.0,1075,0,109.57,1075,130.0,892,0.0,515871,0,0
1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,14,3,0,0.0,1,0.0,0.0,477,0,95.0,477,102.96,452,0.0,6124626,0,0
1,1,2,-1,4,5,-1,7,-1,1,-1,3,4,-1,6,-1,0,16,0,0,0.0,1,0.0,0.0,231,0,77.1,231,59.0,131,0.0,29967864,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,14,0,0,0.0,1,0.0,0.0,433,0,104.0,433,69.1,85,0.0,55198834,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,26,5,0,0.0,1,0.0,0.0,1060,0,298.0,1060,298.5,1307,0.0,58147067,0,1
1,1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,-1,-1,0,9,0,0,0.0,1,0.0,0.11789999999999999,636,75,133.0,636,130.0,480,0.09570000000000001,7639635,731311,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,18,3,0,0.0,1,0.0,0.0,271,0,37.0,271,37.0,282,0.0,11895552,0,0
1,1,2,-1,-1,5,-1,-1,-1,1,2,3,4,-1,6,-1,4,10,0,0,0.0,1,0.0,0.0,237,0,58.0,237,58.0,80,0.0,2842185,0,0
1,-1,-1,-1,-1,5,6,7,-1,-1,-1,-1,4,-1,-1,-1,1,5,0,0,0.0,1,0.0,0.0,334,0,48.0,334,48.0,244,0.0,40631125,0,0
1,-1,2,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,6,-1,8,3,0,0,0.0,1,0.0,0.0,162,0,9.0,162,9.0,48,0.0,9269006,0,0
1,-1,-1,-1,-1,5,-1,-1,98,1,-1,3,4,-1,6,-1,100,11,1,0,0.0,1,0.0,0.0,212,0,18.0,212,18.0,90,0.0,11161921,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,0,1,0.0,1,0.0,0.0,183,0,20.0,183,20.0,48,0.0006,1139365,710,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,12,2,0,0.0,1,0.0,0.0,712,0,22.0,712,22.0,361,0.0,11604770,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,19,1,0,16.34,1,4.93,0.0843,166,14,28.93,166,29.0,102,0.0645,22611501,1458249,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,41,0,0,43.18,1,10.0,0.0,617,0,122.5,617,110.0,651,0.0,68126217,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,145,0,8.0,145,8.0,33,0.0,11589,0,0
1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,6,3,0,0.0,1,0.0,0.0,338,0,46.6,338,47.8,328,0.0,1332456,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0.0,1,0.0,0.0,180,0,11.15,180,10.0,43,0.0,2829405,0,1
1,-1,2,-1,-1,5,-1,-1,-1,1,-1,3,-1,-1,-1,-1,36,14,9,0,0.0,1,0.0,0.0,1051,0,72.65,1051,79.74,530,0.0,10903432,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,16,2,0,0.0,1,0.0,0.0,274,0,40.0,274,40.0,530,0.0,24466114,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,178,0,158.0,178,158.5,132,0.0,3582344,0,1
1,1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,4,-1,6,-1,8,2,1,0,0.0,1,0.0,0.0,263,0,58.0,263,58.0,216,0.0,8598038,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,14,2,1,0.0,1,0.0,0.0,248,0,71.67,248,65.0,98,0.0,7106826,0,0
1,1,-1,-1,-1,5,-1,7,-1,1,2,3,-1,-1,6,-1,80,7,5,0,0.0,1,0.0,0.0,316,0,75.0,316,76.0,283,0.0,42734455,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0,492,0,5.0,492,5.0,227,0.0,8410289,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,16,2,0,509.91,1,15.0,0.0,205,0,85.2,205,69.4,120,0.0,31292970,0,0
1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,4,-1,6,-1,1,13,2,0,0.0,1,0.0,0.0,853,0,60.0,853,60.0,768,0.0,21229897,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,0,0,0,0.0,1,0.0,0.0,241,0,111.0,241,111.1,155,0.0,2730594,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,22,0,0,0.0,1,0.0,0.0,212,0,10.28,212,8.0,273,0.0,4819611,12,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,480.31,1,120.0,0.0,856,0,253.89,856,108.0,331,0.0,16135622,0,0
1,1,2,-1,-1,5,-1,-1,-1,-1,-1,-1,4,5,-1,-1,10,22,3,0,0.0,1,0.0,0.0,1182,0,15.56,1182,5.0,659,0.0,21821820,0,0
1,1,-1,-1,-1,5,6,-1,-1,1,2,3,-1,-1,6,-1,23,18,36,0,0.0,1,0.0,0.0,1026,0,69.3,1026,0.0,0,0.0,15318578,520,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,1,0,0.0,1,0.0,0.0,290,0,61.92,290,58.0,202,0.0,15250045,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,9,0,0,0.0,1,0.0,0.0,250,0,132.9,250,85.0,81,0.0,43888427,0,0
1,1,-1,-1,4,5,-1,7,-1,-1,2,3,4,5,6,-1,2,8,0,0,0.0,1,0.0,0.0,301,0,26.2,301,25.0,165,0.0,42889330,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,0,0,0.0,1,0.0,0.0,430,0,21.0,430,21.0,59,0.0006,42325438,26673,1
1,1,2,-1,-1,5,-1,7,-1,1,2,3,4,-1,6,-1,8,6,4,0,0.0,1,0.0,0.0,636,0,58.0,636,58.0,347,0.0,11005953,0,0
1,1,2,-1,-1,5,-1,7,-1,1,2,3,4,-1,-1,-1,32,5,1,0,0.0,1,0.0,0.0,177,0,53.89,177,48.57,31,0.0,2911450,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,0,0,80.8,1,28.0,0.0,2026,0,47.1,2026,47.0,15,0.0,103086314,0,0
1,1,2,-1,4,-1,-1,-1,-1,1,2,3,4,-1,6,-1,26,0,0,0,0.0,1,0.0,0.0,278,0,12.0,278,2.0,63,0.0,7773027,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,2,0,0.0,1,0.0,0.0,333,0,168.0,333,168.0,148,0.0,50576109,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,0.0703,185,13,21.0,185,21.0,43,0.09269999999999999,3627517,336257,1
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,16,2,1,0,0.0,1,0.0,0.0,336,0,88.0,336,88.0,334,0.0,326722,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0.0,1,0.0,0.0,176,0,63.0,176,63.1,66,0.0,289130,0,0
1,-1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,-1,-1,-1,-1,9,15,0,1,0.0,1,0.0,0.0,177,0,11.0,177,8.0,152,0.0,12967717,0,0
1,1,2,-1,-1,-1,-1,7,-1,-1,2,-1,4,-1,6,-1,20,29,3,0,0.0,1,0.0,0.0,527,0,239.0,527,239.0,545,0.0,8908382,0,1
1,1,2,3,4,5,6,7,-1,-1,-1,3,-1,-1,6,-1,88,3,11,0,0.0,1,0.0,0.0414,2367,98,140.0,2367,140.0,795,0.0429,53680816,2301361,1
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,21,20,1,0,0.0,1,0.0,0.0,361,0,59.0,361,58.0,325,0.0,19700447,0,0
1,1,2,3,4,5,6,7,-1,1,-1,3,4,5,6,-1,10,21,0,1,0.0,1,0.0,0.0,299,0,142.0,299,68.63,178,0.0,113493021,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,12,2,0,0.0,1,0.0,0.0,182,0,157.14,182,119.9,45,0.0,23139744,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,0,0,0,0.0,1,0.0,0.0,116,0,39.0,116,39.0,35,0.0,8190943,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,0.0,278,0,40.0,278,40.0,283,0.0,1878714,0,0
1,1,-1,-1,-1,-1,6,7,-1,1,-1,-1,-1,-1,-1,-1,6,5,0,0,0.0,1,0.0,0.0,637,0,89.9,637,70.07,439,0.0,5528956,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,0,0,0,0.0,1,0.0,0.0,184,0,43.0,184,47.9,92,0.0,2260219,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,18,0,0,0.0,1,0.0,0.0,142,0,42.6,142,42.4,73,0.0,15673719,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,1,0,0.0,1,0.0,0.0,711,0,10.0,711,10.0,288,0.0,5713698,0,0
